p,metric,metric_mean,metric_std,runs
0.55,A_blocks_canonical_minus_p_times_2016,-4.5,0.0,1
0.6,A_blocks_canonical_minus_p_times_2016,-4.0,0.0,1
0.65,A_blocks_canonical_minus_p_times_2016,3.5,0.0,1
0.7,A_blocks_canonical_minus_p_times_2016,-3.0,0.0,1
0.75,A_blocks_canonical_minus_p_times_2016,2.5,0.0,1
0.8,A_blocks_canonical_minus_p_times_2016,8.0,0.0,1
0.85,A_blocks_canonical_minus_p_times_2016,0.5,0.0,1
0.9,A_blocks_canonical_minus_p_times_2016,8.0,0.0,1
0.95,A_blocks_canonical_minus_p_times_2016,-0.5,0.0,1
