p,metric,metric_mean,metric_std,runs
0.55,A_blocks_canonical_minus_p_times_2016,-41.000000000000185,25.209345709698837,10
0.6,A_blocks_canonical_minus_p_times_2016,-47.29999999999991,40.09447177188729,10
0.65,A_blocks_canonical_minus_p_times_2016,-40.80000000000009,34.442222150533006,10
0.7,A_blocks_canonical_minus_p_times_2016,-37.999999999999815,29.977028242009283,10
0.75,A_blocks_canonical_minus_p_times_2016,-35.6,49.35855211274604,10
0.8,A_blocks_canonical_minus_p_times_2016,-26.600000000000183,32.416730933955144,10
0.85,A_blocks_canonical_minus_p_times_2016,-12.89999999999991,40.81135462915519,10
0.9,A_blocks_canonical_minus_p_times_2016,-23.80000000000009,45.11269838477361,10
0.95,A_blocks_canonical_minus_p_times_2016,-24.899999999999817,46.09422716325525,10
