scenario,p,n,run_id,seed,T,t_end,canonical_len,A_blocks_canonical,H_blocks_canonical,A_share,A_orphan_published,H_orphan_published,attacks_started,attacks_success_2blocks,attacks_success_race,attacks_abort,attacks_release_only,final_difficulty,num_epochs_completed
scenario1_no_daa_by_blocks,0.55,,0,2725074398213260200,10.0,247.53356608821815,30,11,19,0.36666666666666664,0,1,11,0,1,1,10,1.0,0
scenario1_no_daa_by_blocks,0.6,,0,8762946861165258113,10.0,215.1147126401133,30,22,8,0.7333333333333333,0,2,18,3,2,1,14,1.0,0
scenario1_no_daa_by_blocks,0.65,,0,8673921738508794488,10.0,338.20412153849196,30,24,6,0.8,0,3,15,6,3,0,9,1.0,0
scenario1_no_daa_by_blocks,0.7,,0,6786904639911543654,10.0,378.21737080592357,30,26,4,0.8666666666666667,0,2,18,6,2,0,12,1.0,0
scenario1_no_daa_by_blocks,0.75,,0,5576676432274713189,10.0,256.7299616317481,30,25,5,0.8333333333333334,0,0,16,9,0,0,7,1.0,0
scenario1_no_daa_by_blocks,0.8,,0,6551828707162387142,10.0,285.8061740707883,30,23,7,0.7666666666666667,0,1,15,7,1,0,8,1.0,0
scenario1_no_daa_by_blocks,0.85,,0,5904958291308655837,10.0,353.79223742770927,30,28,2,0.9333333333333333,0,2,15,12,1,0,3,1.0,0
scenario1_no_daa_by_blocks,0.9,,0,1831185607234009569,10.0,346.2201945307551,30,29,1,0.9666666666666667,0,0,18,11,0,0,7,1.0,0
scenario1_no_daa_by_blocks,0.95,,0,8400411450483380703,10.0,405.35562031700147,30,30,0,1.0,0,2,16,13,1,0,3,1.0,0
